기준일자,통화명,국가명,매매기준율,송금_보내실때,송금_받으실때
20260213,USD,미국,1443.7,1457.8,1429.6
20260213,EUR,유럽연합,1713.46,1730.59,1696.33
20260213,JPY,일본,942.82,952.05,933.59
20260213,CNY,중국,209.15,211.24,207.06
20260213,HKD,홍콩,184.73,186.57,182.89
20260213,TWD,대만,45.88,46.38,45.38
20260213,GBP,영국,1966.18,1985.84,1946.52
20260213,OMR,오만,3750.06,3795.06,3705.06
20260213,CAD,캐나다,1060.34,1070.94,1049.74
20260213,CHF,스위스,1876.15,1894.91,1857.39
20260213,SEK,스웨덴,161.76,163.37,160.15
20260213,AUD,호주,1023.58,1033.81,1013.35
20260213,NZD,뉴질랜드,871.63,880.34,862.92
20260213,CZK,체코,70.66,71.43,69.89
20260213,CLP,칠레,1.68,1.7,1.66
20260213,TRY,튀르키예,33.0,33.36,32.64
20260213,MNT,몽골,0.4,0.4,0.4
20260213,ILS,이스라엘,470.59,476.23,464.95
20260213,DKK,덴마크,229.39,231.68,227.1
20260213,NOK,노르웨이,151.37,152.88,149.86
20260213,SAR,사우디아라비아,384.96,388.8,381.12
20260213,KWD,쿠웨이트,4717.97,4765.14,4670.8
20260213,BHD,바레인,3829.24,3867.53,3790.95
20260213,AED,아랍에미리트,393.1,397.03,389.17
20260213,JOD,요르단,2036.25,2060.68,2011.82
20260213,EGP,이집트,30.82,31.18,30.46
20260213,THB,태국,46.43,46.89,45.97
20260213,SGD,싱가포르,1142.62,1154.04,1131.2
20260213,MYR,말레이시아,369.61,373.3,365.92
20260213,IDR,인도네시아,8.58,8.66,8.5
20260213,QAR,카타르,396.13,400.88,391.38
20260213,KZT,카자흐스탄,2.92,2.95,2.89
20260213,BND,브루나이,1142.62,1156.33,1128.91
20260213,INR,인도,15.93,16.11,15.75
20260213,PKR,파키스탄,5.16,5.22,5.1
20260213,BDT,방글라데시,11.8,11.94,11.66
20260213,PHP,필리핀,24.85,25.09,24.61
20260213,MXN,멕시코,83.91,84.74,83.08
20260213,BRL,브라질,276.97,280.29,273.65
20260213,VND,베트남,5.57,5.62,5.52
20260213,ZAR,남아프리카 공화국,90.48,91.56,89.4
20260213,RUB,러시아,18.69,19.34,18.04
20260213,HUF,헝가리,4.52,4.56,4.48
20260213,PLN,폴란드,406.54,411.01,402.07
20260213,LKR,스리랑카,4.67,4.72,4.62
20260213,DZD,알제리,11.14,11.27,11.01
20260213,KES,케냐,11.19,11.32,11.06
20260213,COP,콜롬비아,0.39,0.39,0.39
20260213,TZS,탄자니아,0.56,0.56,0.56
20260213,NPR,네팔,9.96,10.07,9.85
20260213,RON,루마니아,336.52,340.22,332.82
20260213,LYD,리비아,228.95,231.69,226.21
20260213,MOP,마카오,179.25,181.4,177.1
20260213,MMK,미얀마,0.69,0.69,0.69
20260213,ETB,에티오피아,9.27,9.38,9.16
20260213,UZS,우즈베키스탄,0.12,0.12,0.12
20260213,KHR,캄보디아,0.36,0.36,0.36
20260213,FJD,피지,659.12,667.02,651.22
